project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
Unico Core Plus Partners,ast_334dab757ff6,project_notion_3268ced4-3c47-81b1-9741-fd87a8c3a8e4,PRJ-103,project_notion_3258ced4-3c47-81a8-946f-ca93f4069c30,,PRJ-103,"metadata,project_code"
센터필드,,project_notion_3268ced4-3c47-8160-8815-f301cc87ff71,PRJ-178,project_notion_3258ced4-3c47-8137-9739-c4f8de51b0aa,,PRJ-178,"metadata,project_code"
인천 서구 가좌동 데이터센터 선매입,ast_6620a797dae4,project_notion_3268ced4-3c47-810e-a5e9-c9dd92e38c0b,PRJ-59,project_notion_3258ced4-3c47-816b-a48f-fe910c82beb6,,PRJ-59,"metadata,project_code"
안산 글로벌클라우드센터 개발,ast_512881449c97,project_notion_3268ced4-3c47-8111-80c5-f382fb82d91d,PRJ-176,project_notion_3258ced4-3c47-81cf-88a1-d01be50c7fd0,,PRJ-176,"metadata,project_code"
Balbec InSolve Global Credit Fund III,ast_0d9b6bc27220,project_notion_3268ced4-3c47-8111-8dd1-f999489f77a3,PRJ-92,project_notion_3258ced4-3c47-8146-acbe-e1a0f3f406a8,,PRJ-92,"metadata,project_code"
백암빌딩(OPUS459),,project_notion_3268ced4-3c47-8112-8dad-de7cf377d704,PRJ-163,project_notion_3258ced4-3c47-817b-b954-d181fde727df,,PRJ-163,"metadata,project_code"
Starwood European Real Estate Debt Finance II (SEREDF II,ast_dd63895bac49,project_notion_3268ced4-3c47-8113-9cf3-c1b62fe76421,PRJ-198,project_notion_3258ced4-3c47-8140-9b02-e2e7471cf4e1,,PRJ-198,"metadata,project_code"
효제동 주거용 오피스텔,ast_473b1c633c1b,project_notion_3268ced4-3c47-8116-9985-ee93e8fcc3d3,PRJ-134,project_notion_3258ced4-3c47-817a-8987-ca5881e5effb,,PRJ-134,"metadata,project_code"
Odawara Logistics Amazon FC I,ast_baffca3def0d,project_notion_3268ced4-3c47-8116-9b34-c5b964f19827,PRJ-119,project_notion_3258ced4-3c47-8106-8a3b-d2d13f5f94fc,,PRJ-119,"metadata,project_code"
타임워크 웨스트 (신도림),,project_notion_3268ced4-3c47-8119-bb90-dfa34d268dfe,PRJ-1,project_notion_3258ced4-3c47-81f4-825b-cecf97621dce,,PRJ-1,"metadata,project_code"
"Albany, Cleveland, Omaha BTS Logistics",ast_74b58d4dd7c7,project_notion_3268ced4-3c47-8117-ae0e-f6a2eeb1c294,PRJ-110,project_notion_3258ced4-3c47-81da-956e-e833fece1802,,PRJ-110,"metadata,project_code"
