group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
성지제강,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
수협중앙회,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
스카이저축은행,,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(경남제일신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(경동신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(계산신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(광안신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(남서울신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(달구벌신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(동수원신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(등촌신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
