entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000235-R01,SH000235,농협(강동농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000236-R01,SH000236,농협(거제해금강농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000237-R01,SH000237,농협(고흥농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000238-R01,SH000238,농협(광명농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000239-R01,SH000239,농협(구림농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000240-R01,SH000240,농협(규암농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000241-R01,SH000241,농협(근흥농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000242-R01,SH000242,농협(금산인삼농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000243-R01,SH000243,농협(금왕농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000244-R01,SH000244,농협(남밀양농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000245-R01,SH000245,농협(대구경북능금농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000246-R01,SH000246,농협(대천농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000247-R01,SH000247,농협(동경주농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000248-R01,SH000248,농협(동군산농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000249-R01,SH000249,농협(동북농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000250-R01,SH000250,농협(마도농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000251-R01,SH000251,농협(몽탄농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000252-R01,SH000252,농협(문막농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000253-R01,SH000253,농협(백석농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000254-R01,SH000254,농협(백운농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,2,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000255-R01,SH000255,농협(봉동농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000256-R01,SH000256,농협(부안중앙농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000257-R01,SH000257,농협(사등농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000258-R01,SH000258,농협(산청군농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000259-R01,SH000259,농협(삼칠농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000260-R01,SH000260,농협(삼호농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000261-R01,SH000261,농협(서석농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000262-R01,SH000262,농협(서신농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000263-R01,SH000263,농협(소양농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000264-R01,SH000264,농협(소초농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000265-R01,SH000265,농협(수륜농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000266-R01,SH000266,농협(수원농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000267-R01,SH000267,농협(순창농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000268-R01,SH000268,농협(안계농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000269-R01,SH000269,농협(안흥농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
