펀드코드,약칭,펀드명,섹터
112784,K본드알파1호(C-i),이지스 K본드알파 일반사모투자신탁 제1호(Class C-i),기타
112628,442호,이지스제442호일반사모부동산투자회사, 
112326,281호( A),이지스글로벌공모부동산투자신탁281호(파생형) (Class A),물류
112470,기회추구2-2호,이지스기회추구전문투자형사모부동산모투자신탁제2-2호,지분증권
112331,243-1호(1종),이지스글로벌일반사모부동산투자신탁243-1호(재간접형)(1종),물류
112468,374호(1종),이지스제374호전문투자형사모부동산투자유한회사(1종), 
112422,353호(1종),이지스일반사모부동산투자신탁제353호(1종),복합(오피스)
112635,리츠플랫폼(C-g),이지스리츠플랫폼일반사모부동산투자신탁 Class C-i, 
112419,357호(1종),이지스캘리포니아전문투자형사모부동산투자신탁357호(재간접형) (1종),오피스
112735,라이징K리츠(C-W),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-W class,지분증권
112281,232호(2종),이지스일반사모부동산투자신탁232호(2종),특별자산
112363,316-1호,이지스글로벌일반사모부동산자투자신탁316-1호,주거
112507,지엘아이피1-1호(2종),이지스지엘아이피일반사모투자신탁1-1호(2종),물류
112118,124호,이지스전문투자형사모투자신탁124호,오피스
112702,13호(2종),이지스일반사모부동산투자신탁13호(2종),리테일
112513,393호,이지스글로벌전문투자형사모부동산투자신탁393호, 
300076,그린ON4호,이지스그린ON 일반사모투자신탁제4호(운용),기타
112402,335호(A),이지스글로벌부동산투자신탁335호(파생형) (Class A), 
112313,287호(C-I),이지스리테일부동산투자신탁287호 Class C-I,리테일
112351,스트래티직1-2-3호,이지스스트래티직일반사모부동산자투자신탁제1-2-3호,복합(오피스)
112565,405호,이지스글로벌전문투자형사모부동산모투자신탁405호, 
S00001,S지엘가산메트로,지엘가산메트로, 
112022,17-4호,이지스KORIF사모부동산투자신탁17-4호,오피스
120111,130호(1-1종),이지스일반사모부동산모투자신탁제130호(1-1종),오피스
300009,하이일드공모주1호(C-i),이지스 하이일드 공모주 일반사모투자신탁 제1호(Class C-i),기타
120016,421호(C종),이지스일반사모부동산투자신탁421호(C종),지분증권
112440,고배당리츠(S-P),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class S-P,지분증권
112533,409호(1종),이지스일반사모부동산투자신탁409호(Class A),복합(오피스)
112134,126호(C-i),이지스코어리테일부동산투자신탁126호(Class C-i),리테일
112283,250-1호,이지스글로벌전문투자형사모부동산투자신탁 250-1호, 
112479,10-1호,이지스전문투자형사모부동산투자신탁10-1호(재간접)(운용),복합(오피스)
112094,101호,이지스글로벌일반사모부동산투자신탁 101호,물류
112525,397호(보통주),이지스제397호전문투자형부동산사모투자회사(보통주),오피스
112428,고배당리츠(A-G),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class A-G, 
112709,코스닥벤처1호,이지스 코스닥벤처 일반사모투자신탁 제1호,기타
112472,기회추구2-2-1호(C1),이지스기회추구전문투자형사모부동산자투자신탁제2-2-1호(C1),지분증권
112061,67호,이지스제67호사모부동산투자유한회사, 
112211,210호(2종),이지스제210호전문투자형사모부동산투자회사(2종),복합(오피스)
112480,10-1호(1종),이지스전문투자형사모부동산투자신탁10-1호(재간접)(1종),복합(오피스)
112562,424호(보통주),이지스제424호전문투자형사모부동산투자회사(보통주),오피스
P00018,P마곡CP4,마곡CP4피에프브이 주식회사,복합(오피스)
112087,108호,이지스전문사모부동산투자신탁108호, 
112337,시그니처리츠(C-I),이지스글로벌시그니처리츠전문투자형사모부동산투자신탁 Class C-I,기타
120041,성수 PF재구조화(2종),이지스 성수PF재구조화 일반사모부동산투자신탁(2종),NPL
112213,197호,이지스전문투자형사모부동산투자신탁197호,주거
112195,158호,이지스일반사모부동산투자신탁158호,호텔
112332,243-1호(2종),이지스글로벌일반사모부동산투자신탁243-1호(재간접형)(2종),물류
112010,11-2호,이지스KORIF사모부동산 투자신탁 11-2호,오피스
112293,278호,이지스전문투자형사모투자신탁278호,특별자산
112404,33호(1종),이지스일반사모부동산투자신탁33호(1종),호텔
112131,137호,이지스전문투자형사모투자신탁137호(재간접형),특별자산
112120,105호(A),이지스전문투자형사모부동산투자신탁105호 (Class A), 
112415,336호(1종),이지스전문투자형사모부동산투자신탁제336호 (1종), 
112317,287호(C-P),이지스리테일부동산투자신탁287호 Class C-P,리테일
112286,243-1호,이지스글로벌일반사모부동산투자신탁243-1호(재간접형)(운용),물류
112003,2호,피에스KORIF사모부동산투자신탁2호,오피스
120075,43-3호,이지스일반사모부동산자투자신탁43-3호,호텔
112570,KDCIP1(보통주),이지스플랫폼케이디씨아이피1부동산전문투자형사모투자회사(보통주),데이터센터
112052,49호,이지스사모부동산투자신탁49호,오피스
112618,449호,이지스미국인프라일반사모투자신탁449호,대출채권
112177,166호(B종),이지스임대주택전문투자형사모부동산투자신탁166호(재간접형) (B종),주거
112531,25호(2종),이지스일반사모부동산투자신탁25호(2종),오피스
112027,23호,이지스타이탄사모부동산투자신탁23호, 
112088,107호,이지스코어오피스제107호공모부동산투자회사, 
112252,239호,이지스부동산투자신탁239호,복합(오피스)
112155,154호,이지스전문투자형사모투자신탁154호,리테일
112340,300호(2종),이지스글로벌일반사모부동산투자신탁300호 (2종),물류
112081,102호,이지스E코크렙6호전문투자형사모투자신탁102호,리테일
P00003,P오시생숙,오시리아타워레지던스PFV,주거
112103,98-2호,이지스미국일반사모부동산자투자신탁98-2호,오피스
112157,155호,이지스전문투자형사모투자신탁155호(재간접형),리테일
112146,125-2호,이지스일반사모부동산자투자신탁제125-2호,오피스
120065,562의1호(2종),이지스일반사모부동산자투자신탁제562의1호(2종),복합(주거)
120098,372호(3종),이지스국내오피스일반사모부동산투자신탁제372호(3종),오피스
112212,210호(보통),이지스제210호전문투자형사모부동산투자회사(보통),복합(오피스)
112620, 441호,이지스미국전문투자형사모부동산투자신탁 441호, 
112133,126호(A),이지스코어리테일부동산투자신탁126호(Class A),리테일
