펀드코드,펀드명,AUM(약정),대주정보,수익자정보,자산정보
112405,33호(2종),0,X,X,O
R00003,R레지던스,0,X,X,X
112366,299호(A),0,X,X,O
120024,애월엔터1종,0,X,X,O
300069,초단기채1호(C),0,X,X,X
112792,149호(1종),0,X,X,O
112793,149호(2종),0,X,X,O
112654,460호(1종),0,X,O,O
112426,고배당리츠(A),0,X,X,O
R00007,R로지스틱스,0,X,X,X
112364,316-2호,0,X,O,O
112377,330호(2-A종),0,X,X,O
112591,416호(2종),0,X,X,O
120026,97호(F2),0,X,O,O
112672,473호,0,X,O,O
120100,용산PF재구조화1호(1종),0,X,O,X
190007,542호(보통주식),0,X,X,O
300070,초단기채1호(C-I),0,X,X,X
300058,멀티플러스2호(A),0,X,X,X
300059,멀티플러스2호(C1),0,X,X,X
300041,그린ON1호(A),0,X,X,X
300060,멀티플러스2호(C2),0,X,X,X
300065,K-프런티어1호(Class C-S),0,X,X,X
300048,그린ON2호(A),0,X,X,X
300068,초단기채1호(A),0,X,X,X
300073,레포플러스1호,0,X,X,O
300077,그린ON4호(A),0,X,X,X
300078,그린ON4호(C-I),0,X,X,X
300047,그린ON2호,0,X,X,X
300081,블루ON2호(ClassA),0,X,X,X
300080,블루ON2호,0,X,X,O
112263,셀렉리츠1호(C-S),0,X,X,O
300064,K-프런티어1호(Class C-I),0,X,X,X
120039,국내PF재구조화1호(자),0,X,O,O
112406,33호(3종),0,X,X,O
R00016,R하이서울147,0,X,X,O
S00002,석암물류(SPC),0,X,X,O
112802,KDCIP 2호,0,X,O,O
300055,그린ON3호(A),0,X,X,X
112679,랜드플랫폼 1-1호,0,X,X,O
300083,블루ON2호(ClassC-S),0,X,X,X
112129,116-2호,0,X,X,O
112169,151호(1종),0,X,X,O
R00005,R글로벌성장,0,X,X,X
112485,378-2호,0,X,O,O
112671,472호(보통주),0,X,O,O
112376,330호(1종),0,X,X,O
112243,229호(A),0,X,X,O
120101,용산PF재구조화1호(2종),0,X,O,O
300054,그린ON3호,0,X,X,X
120084,산단2호,0,X,O,O
P00021,P청담PH129,0,X,X,X
112291,스트래티직1-3-3호,0,X,O,O
112689,울산신항인프라(2종),0,X,O,O
112097,109-1호,0,X,O,O
300084,블루ON2호(ClassI),0,X,X,X
112492,389호(2종),0,X,X,O
112706,421호(A종),0,X,X,O
112650,부산특구1호(A-e),0,X,X,O
P00013,P스페이스포안성,0,X,X,X
112652,부산특구1호(C-s),0,X,X,O
112441,고배당리츠(S-P2),0,X,X,O
200044,575호,0,X,X,O
112090,103호(B),0,X,X,O
112320,아레나스 1호(자),0,X,X,O
112432,고배당리츠(C-F),0,X,X,O
300085,블루ON3호,0,X,O,O
112794,510호,0,X,X,O
R00014,R타임워크기업구조조정,0,X,X,O
112678,47호(2종),0,X,O,O
112379,기회추구 2-1호,0,X,X,O
300075,하이일드공모주3호,0,X,O,O
112378,330호(2-B종),0,X,X,O
112089,103호(A),0,X,X,O
112674,473호(2종),0,X,O,O
120025,애월엔터2종,0,X,X,O
112370,에이치밸류(2종),0,X,X,O
300071,초단기채1호(C-S),0,X,X,X
112400,97호(C2),0,X,O,O
112181,151호(2종),0,X,X,O
112429,고배당리츠(C),0,X,X,O
112427,고배당리츠(A-e),0,X,X,O
112434,고배당리츠(C-P),0,X,X,O
120102,국내PF재구조화1-3호(모),0,X,O,O
112369,에이치밸류(1종),0,X,X,O
112098,109-2호,0,X,O,O
112244,229호(C-I),0,X,X,O
112515,395호(1종),0,X,X,O
112651,부산특구1호(C-i),0,X,X,O
112323,아레나스1-1호(모),0,X,X,O
112423,353호(2-A종),0,X,X,O
112133,126호(A),0,X,X,O
112212,210호(보통),0,X,X,O
112146,125-2호,0,X,X,O
P00004,P해운대626,0,X,X,X
300079,멀티드래곤6호,0,X,O,O
112261,셀렉리츠1호(A),0,X,X,O
112673,473호(1종),0,X,O,O
120046,코어인프라1호(1종),0,X,O,O
300049,그린ON2호(I),0,X,X,X
112424,353호(2-B종),0,X,X,O
P00020,P검단아트,0,X,X,X
112436,고배당리츠(C-P2),0,X,X,O
112149,151호(3종),0,X,X,O
112680,468-2호(1종),0,X,O,O
200039,578호,0,X,O,O
112502,지엘아이피1-1호,0,X,X,X
112437,고배당리츠(C-P2e),0,X,X,O
112128,코어1호,0,X,O,O
112500,인컴앤그로스 2호,0,X,O,O
112804,439호(A종),0,X,X,O
200041,미국코어인프라1호,0,X,O,O
120043,200호(2종),0,X,X,O
120009,518호(1종),0,X,X,O
P00016,P남대문칠일,0,X,X,X
112210,210호(1종),0,X,X,O
120042,200호(1종),0,X,X,O
P00011,P디오션259,0,X,X,X
112538,408호(B종),0,X,X,O
112193,163-2호,0,X,O,O
112681,468-2호(2종),0,X,O,O
300072,초단기채1호(C-P),0,X,X,X
112780,502호(보통주),0,X,O,O
120081,경산로지스1-1호,0,X,O,O
112103,98-2호,0,X,O,O
200042,579호,0,X,O,O
112438,고배당리츠(C-W),0,X,X,O
112331,243-1호(1종),0,X,X,O
112595,354호(B종),0,X,X,O
120016,421호(C종),0,X,X,O
112503,지엘아이피1-2호,0,X,X,X
S00001,S지엘가산메트로,0,X,X,X
112351,스트래티직1-2-3호,0,X,O,O
300076,그린ON4호,0,X,O,O
112702,13호(2종),0,X,X,O
112435,고배당리츠(C-Pe),0,X,X,O
120044,산단1호,0,X,X,O
112363,316-1호,0,X,O,O
112422,353호(1종),0,X,X,O
112470,기회추구2-2호,0,X,X,O
120076,경산 SS1호,0,X,O,O
112326,281호( A),0,X,X,O
112237,스트래티직 1호,0,X,X,O
112670,472호(1종),0,X,O,O
112271,248호(1종),0,X,X,O
112175,166호,0,X,X,O
200040,561호,0,X,O,O
112688,울산신항인프라(1종),0,X,O,O
112532,409호,0,X,X,O
112692,463호(보통주),0,X,O,O
300056,그린ON3호(C-i),0,X,X,X
112102,98-1호,0,X,O,O
112440,고배당리츠(S-P),0,X,X,O
112594,354호(A종),0,X,X,O
112590,416호(1종),0,X,X,O
112533,409호(1종),0,X,X,O
120047,코어인프라1호(2종),0,X,O,O
P00003,P오시생숙,0,X,X,X
112655,460호(2종),0,X,O,O
112340,300호(2종),0,X,X,O
112491,389호(1종),0,X,X,O
112531,25호(2종),0,X,X,O
112484,378-1호,0,X,O,O
112286,243-1호,0,X,O,O
112537,408호(A종),0,X,X,O
120010,518호(2종),0,X,X,O
112517,비즈성장 1호,0,X,X,O
112404,33호(1종),0,X,X,O
112371,243-2호,0,X,O,O
112332,243-1호(2종),0,X,X,O
112516,395호(2종),0,X,X,O
P00018,P마곡CP4,0,X,X,X
112542,411호,0,X,X,O
112211,210호(2종),0,X,X,O
300043,그린ON1호(C-i),0,X,X,X
112525,397호(보통주),0,X,X,O
112534,409호(2종),0,X,X,O
120019,472호(A종),0,X,X,O
112134,126호(C-i),0,X,X,O
300082,블루ON2호(ClassC),0,X,X,X
