entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
project:project_notion_3258ced4-3c47-81dc-8c41-fd98a32e2344,project,project_notion_3258ced4-3c47-81dc-8c41-fd98a32e2344,US Courtyard by Marriott Portfolio Rescue Capital Loan,PRJ-105 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81dc-8c41-fd98a32e2344,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81dc-9708-ed71db63bfd9,project,project_notion_3258ced4-3c47-81dc-9708-ed71db63bfd9,판교 아이스퀘어 E동,PRJ-166 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81dc-9708-ed71db63bfd9,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81dc-9709-fa150a62a94b,project,project_notion_3258ced4-3c47-81dc-9709-fa150a62a94b,오산세교 주상복합 개발사업,PRJ-71 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81dc-9709-fa150a62a94b,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81dc-a737-f2cb3c4b352c,project,project_notion_3258ced4-3c47-81dc-a737-f2cb3c4b352c,IA 14차 유동화,PRJ-13 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81dc-a737-f2cb3c4b352c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81dc-a91b-efd55adef7d8,project,project_notion_3258ced4-3c47-81dc-a91b-efd55adef7d8,동부산 테마파크 개발사업,PRJ-47 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81dc-a91b-efd55adef7d8,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81de-9434-fe924893d737,project,project_notion_3258ced4-3c47-81de-9434-fe924893d737,Tokyo District 23 Residential Portfolio,PRJ-97 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81de-9434-fe924893d737,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81e0-8163-fd56ff4c5225,project,project_notion_3258ced4-3c47-81e0-8163-fd56ff4c5225,IAHF 합정,PRJ-16 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81e0-8163-fd56ff4c5225,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81e0-81b0-fe1420d49b02,project,project_notion_3258ced4-3c47-81e0-81b0-fe1420d49b02,안성 홈플러스 물류센터,PRJ-147 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81e0-81b0-fe1420d49b02,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81e0-ac7b-f1c642311b48,project,project_notion_3258ced4-3c47-81e0-ac7b-f1c642311b48,부산 범천동 공동주택 개발사업,Project,projects,project_notion_3258ced4-3c47-81e0-ac7b-f1c642311b48,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81e0-ba99-c4984ff83012,project,project_notion_3258ced4-3c47-81e0-ba99-c4984ff83012,Credit/Private Debt 시장 동향,Mission,projects,project_notion_3258ced4-3c47-81e0-ba99-c4984ff83012,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81e1-9375-f09b4ada3090,project,project_notion_3258ced4-3c47-81e1-9375-f09b4ada3090,Guam Regional Medical City 선순위 A-1 대출 설정,Project | 설정 후,projects,project_notion_3258ced4-3c47-81e1-9375-f09b4ada3090,1.0,confirmed,{}
