asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_2ee9ca3d2082,A112756001,"해외 주식, 채권, ETF",,"지분증권/노트/채권 · T-프런티어1호, T-프런티어1호(A), T-프런티어1호(C) 외 2","T-프런티어1호, T-프런티어1호(A), T-프런티어1호(C), T-프런티어1호(C-i), T-프런티어1호(C-S)",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_19dc673946e8,A112763001,"AA- 이상 채권, 메자닌, 리츠IPO, 국내 상장 리츠, 공모주, 스팩",,공모주/메자닌대출/노트/채권 · A112763001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_3201a934e6fd,A112774001,수익/지분증권,,"지분증권/금융상품 · 508호(운용), 508호(1종), 508호(2종) 외 1","508호(운용), 508호(1종), 508호(2종), 508호(3종)",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_cc2317cd4c2a,A112721001,인천석남물류센터,인천석남물류센터,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_64e52adcf2aa,A112781001,채권,,노트/채권 · A112781001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_930b2bd97924,A112719001,공동주택,공동주택,,해운대1호,주거,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_f5db0e416467,A112751001,인천석남물류센터,인천석남물류센터,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_6d6422bca00c,A112755001,두동 LG전자 통합물류센터,두동 LG전자 통합물류센터,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_512881449c97,A112748001,안산 초지동 데이터센터,안산 초지동 데이터센터,,"501호, 안산",데이터센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_d92e2b93a0fd,A112778001,대전 둔산파이낸스빌딩,대전 둔산파이낸스빌딩,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_71252a1db077,A120049001,수서 역세권B1-3BL B/L(이지스수서PF재구조화 2종 수익증권),수서 역세권B1-3BL B/L(이지스수서PF재구조화 2종 수익증권),,국내PF재구조화1-2호(모),주거,physical_asset,verified,Y,Y,review_financial_name_with_physical_evidence,"physical evidence exists, but name contains loan/security terms"
