fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112742,멀티인컴2호(C),이지스 멀티인컴 일반사모투자신탁 제2호 Class C,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,729,40381b19cffc3336baa9367f1253286a6a401ab474a11307213973ab43a2a066
112743,멀티인컴2호(C-I),이지스 멀티인컴 일반사모투자신탁 제2호 Class C-I,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,730,551de97da2bdfaa665eb2b771b302a6a9431619d30991387cca399187e5df7e4
112744,공모주1호,이지스 공모주 일반사모투자신탁 제1호,Fund,일반펀드,일반펀드,일반,Y,운용,"공모주, 스팩","교보증권, 삼성증권, 아이비케이저축은행, 이지스자산운용, 푸른저축은행, 현대차증권",,731,e938e158585a78aac68cb8c5a29a7ed1ea051352441bb1af7784b0c89459c89e
112745,501호,이지스일반사모부동산자투자신탁제501호(운용),Fund,모펀드,자펀드(수익차등_운용),수익차등,Y,운용,안산 초지동 데이터센터,"Invesco, 엔에이치투자증권, 이지스자산운용 고유자금",,732,b2e949a8681ec9e3393dc53f7d38561060c5ed7c0be4b08d1bb9052303a82825
112746,501호(1종),이지스일반사모부동산자투자신탁제501호(1종),Fund,자펀드,수익차등(수익권),수익차등,Y,청산,,"삼우씨엠건축사사무소, 이지스자산운용 고유자금, 창원기전",,733,2674fc80caa1e8d749b4c90deb35d4b5a6fa81f52029b93d975da88ed3f19fec
112747,501호(2종),이지스일반사모부동산자투자신탁제501호(2종),Fund,자펀드,수익차등(수익권),수익차등,Y,청산,,,,734,10b0e53bc695fb9a215c266ef3a7410997844b4bdd345e175a9b9b008e4bd50f
112748,안산,이지스안산부동산일반사모모투자회사,Fund,모펀드,모펀드,일반,Y,운용,안산 초지동 데이터센터,,,735,efc9d6a668f78ce79b600e0333e38b698a4e4f99700ccac66d836ec6fc577217
112749,장기지분형1-1호(1종),이지스장기지분형일반사모부동산자투자신탁제1-1호(1종),Fund,자펀드,수익차등(수익권),수익차등,N,운용,인천석남물류센터,,,736,510b467a7eb029083ec32d827b5da641b741c38d754849d9b709cbb6b205ae56
112750,장기지분형1-1호(2종),이지스장기지분형일반사모부동산자투자신탁제1-1호(2종),Fund,자펀드,수익차등(수익권),수익차등,N,청산,인천석남물류센터,,,737,20685010ab1a73c2a9b3b25966887061d49f5a04aaa2cfd6261bb4301dd8fd14
112751,인컴앤그로스2-4호,이지스인컴앤그로스제2의4호일반사모부동산모투자회사,Fund,모펀드,모펀드,일반,Y,운용,인천석남물류센터,"이지스인컴앤그로스 2-4-4호, 이지스인컴앤그로스일반사모부동산자투자신탁제2호(Blind), 이지스장기지분형일반사모부동산자투자신탁1-1호(자펀드)(Blind)","DB손해보험, 신한은행, 전북은행, 케이디비산업은행, 하나은행, 현대해상화재보험",738,68c332f358c73b6be5ecf4562f3f4b3edef4d3a49b94cd5b1c2ba99ca0b243e7
